City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Chiredzi,ZW,-21.05,31.6667,77.04,51,0,8.55,clear sky
251,Arequipa,PE,-16.3989,-71.535,66.27,22,0,11.5,clear sky
252,Raga,SS,8.4596,25.678,69.49,93,46,0.98,scattered clouds
253,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,30,10.6,scattered clouds
254,Narva-Joesuu,EE,59.4589,28.0408,52.79,95,100,10.27,overcast clouds
255,Port Hawkesbury,CA,45.6169,-61.3485,60.58,86,100,9.22,overcast clouds
256,Hovd,MN,48.0056,91.6419,38.1,31,62,5.59,broken clouds
257,Pizarro,CO,4.9533,-77.366,81.03,76,78,7.0,broken clouds
258,Puerto Carreno,CO,6.189,-67.4859,93.18,52,40,4.61,scattered clouds
259,Chippewa Falls,US,44.9369,-91.3929,72.37,61,0,3.44,clear sky
260,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,20,8.05,few clouds
261,Ust-Nera,RU,64.5667,143.2,8.01,96,100,2.57,overcast clouds
262,Alyangula,AU,-13.8483,136.4192,78.84,78,39,8.01,scattered clouds
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,76,100,6.91,overcast clouds
264,Bay Roberts,CA,47.5999,-53.2648,63.52,64,3,7.61,clear sky
265,Santa Fe,AR,-31.6333,-60.7,79.02,31,100,8.01,light rain
266,Moerai,PF,-22.4333,-151.3333,72.28,66,96,19.39,overcast clouds
267,Bathsheba,BB,13.2167,-59.5167,79.41,83,75,18.41,broken clouds
268,Agira,IT,37.6562,14.5216,63.41,76,51,2.06,broken clouds
269,Bulgan,MN,48.8125,103.5347,27.43,51,66,3.85,broken clouds
270,Barrow,US,71.2906,-156.7887,37.42,65,20,23.02,few clouds
271,Tiznit,MA,29.5833,-9.5,70.86,56,14,1.21,few clouds
272,Maningrida,AU,-12.0667,134.2667,77.2,79,62,7.07,broken clouds
273,Hambantota,LK,6.1241,81.1185,78.37,81,100,16.55,overcast clouds
274,La Paz,BO,-16.5,-68.15,66.18,16,40,14.97,scattered clouds
275,Lovington,US,32.944,-103.3485,65.25,47,85,8.03,overcast clouds
276,Saldanha,ZA,-33.0117,17.9442,51.85,77,1,8.14,clear sky
277,San Quintin,MX,30.4833,-115.95,72.73,72,14,9.73,few clouds
278,Presidente Olegario,BR,-18.4178,-46.4181,73.44,64,50,3.8,scattered clouds
279,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,29,0,14.97,clear sky
280,Cabo San Lucas,MX,22.8909,-109.9124,91.62,58,0,12.66,clear sky
281,Cherskiy,RU,68.75,161.3,22.57,94,100,10.69,light snow
282,Hasaki,JP,35.7333,140.8333,59.4,77,100,23.42,light rain
283,Royan,FR,45.6285,-1.0281,64.78,94,16,8.12,few clouds
284,North Branch,US,45.5113,-92.9802,72.01,72,54,1.99,broken clouds
285,Huarmey,PE,-10.0681,-78.1522,65.77,71,3,12.33,clear sky
286,Salalah,OM,17.0151,54.0924,78.89,83,20,3.44,few clouds
287,Port Elizabeth,ZA,-33.918,25.5701,61.09,85,20,8.05,few clouds
288,Oussouye,SN,12.485,-16.5469,77.18,84,13,7.23,few clouds
289,Sioux Lookout,CA,50.1001,-91.917,51.87,93,100,5.75,light intensity shower rain
290,Katsuura,JP,35.1333,140.3,64.11,85,100,23.69,overcast clouds
291,Matara,LK,5.9485,80.5353,76.86,89,100,11.88,overcast clouds
292,Georgiyevka,KZ,43.0369,74.7114,50.04,57,20,4.47,few clouds
293,Opuwo,NA,-18.0607,13.84,72.45,29,3,5.46,clear sky
294,Acapulco,MX,16.8634,-99.8901,87.62,66,40,6.91,scattered clouds
295,Namibe,AO,-15.1961,12.1522,64.71,84,76,1.86,broken clouds
296,Ulaangom,MN,49.9811,92.0667,35.13,48,100,1.01,overcast clouds
297,Birao,CF,10.2849,22.7882,74.89,76,14,4.63,few clouds
298,Seoul,KR,37.5683,126.9778,58.39,85,40,5.75,scattered clouds
299,Sambava,MG,-14.2667,50.1667,68.13,89,6,9.33,clear sky
300,Ponta Delgada,PT,37.7333,-25.6667,71.51,88,75,5.75,broken clouds
301,Ancud,CL,-41.8697,-73.8203,48.45,93,100,26.6,moderate rain
